headline,content,average_polarity,tag
Κορονοϊός: Σε ποια άτομα χωρίς συμπτώματα μπορεί να γίνεται δωρεάν τεστ στην Ελλάδα - Υγεία | News 24/7,Τα κριτήρια που επεξεργάζεται ο ΕΟΔΥ προκειμένου να γίνονται τεστ σε άτομα τα οποία δεν θεωρούνται ως ύποπτα κρούσματα. Η αναφορά του Σωτήρη Τσιόδρα.,0.34005,neutral
"Κορονοϊός: Η γεωγραφία των κρουσμάτων στην Ελλάδα - Πού 'σάρωσε', πού δεν έφτασε ποτέ - Κοινωνία | News 24/7",Αναλυτικά οι περιφέρειες και οι δήμοι που καταγράφηκαν τα περισσότερα και λιγότερα κρούσματα κορονοϊού τις τελευταίες 42 μέρες.,0.0,neutral
Κορονοϊός: Πώς είναι η Αθήνα μετά από 23 μέρες καραντίνας,"Πέρασαν ήδη 23 μέρες από τότε που η χώρα μας έθεσε σε εφαρμογή τα περιοριστικά μέτρα για να μην εξαπλωθεί ο κορονοϊός, που ήδη έχει κόψει στην Ελλάδα το ...",-0.125,neutral
Κορονοϊός: Αθήνα καλεί Κομισιόν για τις πτήσεις και ετοιμάζει διακρατικές συμφωνίες,Πιέσεις στην Ευρωπαϊκή Ένωση προκειμένου να λάβει άμεσα αποφάσεις για ένα συνολικό ευρ.,-0.022499999999999992,neutral
"Σε Αθήνα, Κηφισιά και Θεσσαλονίκη τα περισσότερα κρούσματα κορονοϊού – Τρεις νομοί χωρίς ούτε ένα κρούσμα",Υπάρχουν στιγμές που λέμε ότι δεν θέλουμε να υπάρξουν ξανά. Στις 6 το πρωί της Δευτέρας.,-0.0286,neutral
Κορονοϊός: Δύο ακόμη θάνατοι σε Αθήνα και Θεσσαλονίκη - Στους 81 οι νεκροί,"Στους 81 έφτασαν οι νεκροί από κορονοϊό καθώς έφυγε από τη ζωή ένας 42χρονος από την Πορταριά Χαλκιδικής, ο οποίος νοσηλευόταν στη ΜΕΘ του ...",-0.7423,negative
Κορονοϊός: Στους 145 οι νεκροί στην Ελλάδα - Εξέπνευσε ηλικιωμένη στην Αθήνα,Στoυς 145 ανέρχεται ο αριθμός των νεκρών από κορονοϊό στην Ελλάδα.,-0.28569999999999995,neutral
Κορονοϊός Ελλάδα: 93 οι νεκροί - Κατέληξε άλλος ένας στην Αθήνα,Ειδήσεις Άλλος ένας θάνατος από κορονοϊό στην Ελλάδα - Ένας 87 χρονος κατέληξε στο Θριάσειο νοσοκομείο. 93 οι νεκροί στην Ελλάδα από κορονοϊό.,-0.74835,negative
Κορονοϊός: Στους 108 οι νεκροί - Δύο νέοι θάνατοι σε Αθήνα και Πτολεμαΐδα,Δύο ακόμα άνθρωποι έχασαν τη ζωή τους από τον κορονοϊό στην Ελλάδα ανεβάζοντας των αριθμό των θυμάτων σε 108. Πρόκειται για έναν άνδρα 91 ετών με ...,-0.7393,negative
Κορονοϊός: Στους 143 οι νεκροί στην Ελλάδα – Κατέληξαν τρεις άνδρες στην Αθήνα,Τρεις συμπολίτες μας έχασαν τη ζωή τους από κορονοϊό τις τελευταίες ώρες. Πρόκειται για τρεις ηλικιωμένους άνδρες που νοσηλεύονταν στα νοσοκομεία.,-0.2916,neutral
Κορονοϊός: Στους 109 οι νεκροί στην Ελλάδα - Κατέληξε ένας άνδρας στην Αθήνα,Κορονοϊός: Ανεβαίνει ο αριθμός στη θλιβερή λίστα των θυμάτων του φονικού ιού στη χώρα μας. Το τελευταίο θύμα του κορονοϊού στην Ελλάδα είναι ένας ...,-0.69185,negative
Κορονοϊός: Στους 138 οι νεκροί - Δύο θάνατοι σε Αθήνα και Πάτρα,"Αυξάνεται ο κατάλογος των θυμάτων κορονοϊού στην Ελλάδα, καθώς σύμφωνα με πληροφορίες, έχασαν τη ζωή τους δύο ακόμη ηλικιωμένοι άνδρες, οι οποίοι ...",-0.68775,negative
"Κορονοϊός: Δίκες χωρίς διαδίκους, αλλά και χωρίς δικηγόρους στην Αθήνα","Πρεμιέρα σήμερα της (μερικής) επαναλειτουργίας των δικαστηρίων, ειρηνοδικείων και υποθηκοφυλακείων με μπλοκο δικαστικών υπαλλήλων σε 12 ειρηνοδικεία.",-0.2676,neutral
Ο κορονοϊός μείωσε κατά 40% το νέφος στην Αθήνα,"Κορονοϊός: Νέα έρευνα του Αστεροσκοπείου Αθηνών φανερώνει τη βελτίωση της ατμόσφαιρας στην Αθήνα, εξαιτίας των μέτρων περιορισμού της κυκλοφορίας ...",0.11315,neutral
Αθήνα: Το αλισβερίσι των ναρκωτικών δεν σταμάτησε ούτε εν μέσω κορωνοϊού,Ούτε ο κορωνοϊός δεν σταματά την εξάπλωση του... ναρκωϊού» λέει ο δημοτικός σύμβουλος του δήμου Αθηναίων και γραμματέας Περιβάλλοντος του ΚΙΝΑΛ ...,0.28875,neutral
Κορονοϊός: Στα 2566 τα κρούσματα στην Ελλάδα - Ανακοινώθηκαν 32 νέα - Κοινωνία | News 24/7,"Αύξηση κρουσμάτων του κορονοϊού κατά 32 ανακοίνωσε το υπουργείο Υγείας, το απόγευμα της Τρίτης. Συνολικά έχουν καταγραφεί στη χώρα μας 2566 ...",0.1591,neutral
Κορονοϊός: Καθάρισε η ατμόσφαιρα στην Αθήνα λόγω… καραντίνας,Plus: Κοινωνία - Πιο καθαρή είναι η ατμόσφαιρα στην Αθήνα μετά τα περιοριστικά μέτρα λόγω του κορονοϊού.,0.08895,neutral
Κορονοϊός: Άνδρας που είχε ταξιδέψει στην Αθήνα το πρώτο κρούσμα στην Καρδίτσα,Γίνεται ιχνηλάτηση και ήδη έχουν εντοπιστεί περίπου 20 άτομα που ενημερώθηκαν να παραμείνουν σπίτι και εφόσον παρουσιάσουν συμπτώματα να ...,0.0,neutral
Κορονοϊός: Ξεκίνησαν οι έλεγχοι από τις πρώτες 25 Κινητές Ομάδες ΕΟΔΥ,"Οι πρώτες 25 Κινητές Ομάδες ΕΟΔΥ για την αντιμετώπιση της COVID-19 ξεκίνησαν σήμερα σε Αθήνα, Θεσσαλονίκη, Καρδίτσα και φυλακές Δομοκού και σταδιακά ...",0.3021,neutral
Κορονοϊός - Άρση μέτρων: Ουρές και αναμονές έξω από τράπεζες και ταχυδρομεία (pics),Ειδήσεις - Κορονοϊός - Άρση μέτρων: Ουρές και αναμονές έξω από τράπεζες και ταχυδρομεία (pics),0.0,neutral
Άρση μέτρων: «Πλημμύρισε» με κόσμο η Αθήνα - Κοσμοσυρροή σε Ακρόπολη και Μοναστηράκι,"Ειδήσεις - Κορονοϊός - Όλες οι ειδήσεις: Ξεκίνησε η «νέα κανονικότητα» για τους Αθηναίους, μετά την μερική άρση των περιοριστικών μέτρων που επιβλήθηκαν ...",-0.0386,neutral
